code,code_type,label,family,sector,synonyms
8160.5700,NCO,Tea Vendor,Food and Related Products Machine Operators Food Industry,Unclassified,industry|machine|products
8160.7500,NCO,Pasteuriser; Brewery,Food and Related Products Machine Operators Food Industry,Unclassified,industry|machine|products
8189.0100,NCO,Gem Grinder; Machine,Gem and Jewellery Machine Operators (Artisans and Workers) Gem & Jewellery,Unclassified,(artisans|jewellery|machine|workers)
8189.0200,NCO,Gem Polisher; Machine,Gem and Jewellery Machine Operators (Artisans and Workers) Gem & Jewellery,Unclassified,(artisans|jewellery|machine|workers)
8181.1700,NCO,Kilnman; Brick and Tile,Glass and Ceramics Plant Operators and workers Glass & Ceramics,Unclassified,ceramics|glass|plant
7316.0100,NCO,Carpets Engraver - Glass,Signwriter; Decorative Painters; Engravers and Etchers Handicrafts &,Unclassified,carpets engraver|decorative|engravers|etchers|glass|handicrafts|painters|signwriter
7316.0700,NCO,Carpets Hand Painter (Ceramics),Signwriter; Decorative Painters; Engravers and Etchers Handicrafts &,Unclassified,decorative|engravers|etchers|handicrafts|painters|signwriter
7317.0300,NCO,Carpets Furniture Maker - Bamboo,Handicraft Workers in Wood; Basketry and Related Materials Handicrafts &,Unclassified,bamboo|basketry|carpets furniture maker|handicraft|handicrafts|materials
7317.0700,NCO,Carpets Basket Maker,Handicraft Workers in Wood; Basketry and Related Materials Handicrafts &,Unclassified,basketry|handicraft|handicrafts|materials
7317.0800,NCO,Carpets Mat Weaver - Bamboo,Handicraft Workers in Wood; Basketry and Related Materials Handicrafts &,Unclassified,bamboo|basketry|carpets mat weaver|handicraft|handicrafts|materials
7317.0900,NCO,Carpets Mat Weaver - Grass and Leave,Handicraft Workers in Wood; Basketry and Related Materials Handicrafts &,Unclassified,basketry|carpets mat weaver|grass and leave|handicraft|handicrafts|materials
7317.1000,NCO,Carpets Broom Maker,Handicraft Workers in Wood; Basketry and Related Materials Handicrafts &,Unclassified,basketry|handicraft|handicrafts|materials
7317.1100,NCO,Carpets Chick Maker,Handicraft Workers in Wood; Basketry and Related Materials Handicrafts &,Unclassified,basketry|handicraft|handicrafts|materials
7317.1200,NCO,Carpets Khas Thatti Maker,Handicraft Workers in Wood; Basketry and Related Materials Handicrafts &,Unclassified,basketry|handicraft|handicrafts|materials
7317.1400,NCO,Carpets Brush Maker - Hand,Handicraft Workers in Wood; Basketry and Related Materials Handicrafts &,Unclassified,basketry|carpets brush maker|hand|handicraft|handicrafts|materials
7318.0100,NCO,Handicrafts & Carpets Candle Maker,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|handicraft|leather|materials|textiles
7318.0500,NCO,Handicrafts & Carpets Hand Printer - Textile/ Hand,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|hand|handicraft|handicrafts & carpets hand printer|leather|materials|textile|textiles
7318.0600,NCO,Handicrafts & Carpets Hand Dyer,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|handicraft|leather|materials|textiles
7318.2700,NCO,Handicrafts & Carpets Cardtenter - Cotton/ Carding,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|carding|cotton|handicraft|handicrafts & carpets cardtenter|leather|materials|textiles
7318.4200,NCO,Handicrafts & Carpets Hand Spinner (Cotton and,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|handicraft|leather|materials|textiles
7318.5800,NCO,Handicrafts & Carpets Weaver - Handloom,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|handicraft|handicrafts & carpets weaver|handloom|leather|materials|textiles
7318.5900,NCO,Handicrafts & Carpets Carpet Weaver - Hand Knitting,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|hand knitting|handicraft|handicrafts & carpets carpet weaver|leather|materials|textiles
7318.6200,NCO,Handicrafts & Carpets Carpet Repairer,Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|handicraft|leather|materials|textiles
7318.6300,NCO,Handicrafts & Carpets Coir Weaver (Matting),Handicraft Workers in Textiles ; Leather and related materials (Carpet Workers etc),Unclassified,(carpet|handicraft|leather|materials|textiles
